MISSION_TIME,Pressure,Q-Pressure,AirSpeed,VerticalSpeed,GroundSpeed
1.16,58,0.99316,0.00018,5.94,5.94,0.03
1.18,58,0.99315,0.00019,6,6,0.03
1.2,58,0.99313,0.00019,6.06,6.06,0.03
1.22,58,0.99312,0.0002,6.12,6.12,0.04
1.24,59,0.9931,0.0002,6.18,6.18,0.04
1.26,59,0.99309,0.0002,6.24,6.24,0.04
1.28,59,0.99307,0.00021,6.3,6.3,0.04
1.3,59,0.99306,0.00021,6.36,6.36,0.04
1.32,59,0.99304,0.00022,6.42,6.42,0.04
1.34,59,0.99303,0.00022,6.48,6.48,0.04
1.36,59,0.99301,0.00022,6.54,6.54,0.04
1.38,59,0.993,0.00023,6.6,6.6,0.04
1.4,60,0.99298,0.00023,6.66,6.66,0.04
1.42,60,0.99297,0.00024,6.72,6.72,0.04
1.44,60,0.99295,0.00024,6.78,6.78,0.04
1.46,60,0.99293,0.00025,6.84,6.84,0.04
1.48,60,0.99292,0.00025,6.9,6.9,0.04
1.5,60,0.9929,0.00026,6.96,6.96,0.04
1.52,60,0.99289,0.00026,7.02,7.02,0.04
1.54,61,0.99287,0.00027,7.08,7.08,0.04
1.56,61,0.99285,0.00027,7.14,7.14,0.04
1.58,61,0.99284,0.00027,7.2,7.2,0.04
1.6,61,0.99282,0.00028,7.26,7.26,0.04
1.62,61,0.9928,0.00028,7.32,7.32,0.04
1.64,61,0.99278,0.00029,7.39,7.39,0.04
1.66,61,0.99277,0.00029,7.45,7.45,0.04
1.68,62,0.99275,0.0003,7.51,7.51,0.04
1.7,62,0.99273,0.0003,7.57,7.57,0.04
1.72,62,0.99271,0.00031,7.63,7.63,0.04
1.74,62,0.99269,0.00031,7.69,7.69,0.04
1.76,62,0.99268,0.00032,7.75,7.75,0.04
1.78,62,0.99266,0.00033,7.81,7.81,0.04
1.8,62,0.99264,0.00033,7.87,7.87,0.05
1.82,63,0.99262,0.00034,7.93,7.93,0.05
1.84,63,0.9926,0.00034,7.99,7.99,0.05
1.86,63,0.99258,0.00035,8.05,8.05,0.05
1.88,63,0.99256,0.00035,8.11,8.11,0.05
1.9,63,0.99255,0.00036,8.17,8.17,0.05
1.92,63,0.99253,0.00036,8.24,8.23,0.05
1.94,64,0.99251,0.00037,8.3,8.3,0.05
1.96,64,0.99249,0.00037,8.36,8.36,0.05
1.98,64,0.99247,0.00038,8.42,8.42,0.05
2,64,0.99245,0.00039,8.48,8.48,0.05
2.02,64,0.99243,0.00039,8.54,8.54,0.05
2.04,64,0.99241,0.0004,8.6,8.6,0.05
2.06,65,0.99239,0.0004,8.66,8.66,0.05
2.08,65,0.99237,0.00041,8.72,8.72,0.05
2.1,65,0.99235,0.00042,8.78,8.78,0.05
2.12,65,0.99232,0.00042,8.84,8.84,0.05
2.14,65,0.9923,0.00043,8.91,8.91,0.05
2.16,66,0.99228,0.00043,8.97,8.97,0.05
2.18,66,0.99226,0.00044,9.03,9.03,0.05
2.2,66,0.99224,0.00045,9.09,9.09,0.05
2.22,66,0.99222,0.00045,9.15,9.15,0.05
2.24,66,0.9922,0.00046,9.21,9.21,0.05
2.26,66,0.99218,0.00046,9.27,9.27,0.05
2.28,67,0.99215,0.00047,9.34,9.34,0.05
2.3,67,0.99213,0.00048,9.4,9.4,0.05
2.32,67,0.99211,0.00048,9.46,9.46,0.05
2.34,67,0.99209,0.00049,9.52,9.52,0.05
2.36,67,0.99206,0.0005,9.58,9.58,0.05
2.38,68,0.99204,0.0005,9.64,9.64,0.06
2.4,68,0.99202,0.00051,9.71,9.71,0.06
2.42,68,0.992,0.00052,9.77,9.77,0.06
2.44,68,0.99197,0.00052,9.83,9.83,0.06
2.46,68,0.99195,0.00053,9.89,9.89,0.06
2.48,69,0.99193,0.00054,9.95,9.95,0.06
2.5,69,0.9919,0.00054,10.01,10.01,0.06
2.52,69,0.99188,0.00055,10.08,10.08,0.06
2.54,69,0.99186,0.00056,10.14,10.14,0.06
2.56,69,0.99183,0.00057,10.2,10.2,0.06
2.58,70,0.99181,0.00057,10.26,10.26,0.06
2.6,70,0.99178,0.00058,10.32,10.32,0.06
2.62,70,0.99176,0.00059,10.39,10.39,0.06
2.64,70,0.99173,0.00059,10.45,10.45,0.06
2.66,70,0.99171,0.0006,10.51,10.51,0.06
2.68,71,0.99168,0.00061,10.57,10.57,0.06
2.7,71,0.99166,0.00062,10.64,10.64,0.06
2.72,71,0.99163,0.00062,10.7,10.7,0.06
2.74,71,0.99161,0.00063,10.76,10.76,0.06
2.761,72,0.99158,0.00064,10.83,10.83,0.06
2.783,72,0.99155,0.00065,10.9,10.9,0.06
2.806,72,0.99152,0.00065,10.98,10.98,0.06
2.806,72,0.99149,0.00066,11.05,11.05,0.06
2.854,73,0.99146,0.00067,11.13,11.13,0.06
2.88,73,0.99142,0.00068,11.22,11.22,0.06
2.906,73,0.99138,0.00069,11.3,11.3,0.06
2.934,74,0.99135,0.0007,11.39,11.39,0.06
2.934,74,0.99131,0.00071,11.49,11.49,0.06
2.993,74,0.99126,0.00072,11.59,11.59,0.07
3.024,75,0.99122,0.00073,11.69,11.69,0.07
3.024,75,0.99117,0.00074,11.79,11.79,0.07
3.09,75,0.99112,0.00075,11.9,11.9,0.07
3.09,76,0.99107,0.00076,12.02,12.02,0.07
3.161,76,0.99102,0.00078,12.14,12.14,0.07
3.199,77,0.99096,0.00079,12.26,12.26,0.07
3.199,77,0.9909,0.0008,12.39,12.39,0.07
3.279,78,0.99084,0.00082,12.53,12.52,0.07
3.279,78,0.99077,0.00083,12.67,12.67,0.07
3.366,79,0.9907,0.00085,12.81,12.81,0.07
3.366,80,0.99063,0.00087,12.97,12.97,0.07
3.46,80,0.99055,0.00089,13.13,13.12,0.07
3.46,81,0.99047,0.00091,13.29,13.29,0.07
3.562,82,0.99039,0.00093,13.46,13.46,0.08
3.562,82,0.9903,0.00095,13.64,13.64,0.08
3.672,83,0.99021,0.00097,13.83,13.83,0.08
3.672,84,0.99011,0.00099,14.02,14.02,0.08
3.79,85,0.99001,0.00102,14.21,14.21,0.08
3.79,86,0.98991,0.00104,14.41,14.41,0.08
3.79,87,0.9898,0.00107,14.6,14.6,0.08
3.97,88,0.9897,0.0011,14.79,14.79,0.08
3.97,88,0.98959,0.00113,14.99,14.99,0.08
4.09,89,0.98949,0.00116,15.18,15.18,0.08
4.09,90,0.98938,0.00119,15.38,15.38,0.08
4.21,91,0.98927,0.00122,15.57,15.57,0.09
4.21,92,0.98916,0.00125,15.76,15.76,0.09
4.33,93,0.98905,0.00129,15.96,15.96,0.09
4.33,94,0.98893,0.00132,16.16,16.16,0.09
4.45,95,0.98882,0.00135,16.35,16.35,0.09
4.45,96,0.9887,0.00139,16.55,16.55,0.09
4.57,97,0.98859,0.00142,16.75,16.74,0.09
4.57,98,0.98847,0.00146,16.94,16.94,0.09
4.69,99,0.98835,0.0015,17.14,17.14,0.09
4.69,100,0.98822,0.00153,17.34,17.34,0.09
4.81,101,0.9881,0.00157,17.54,17.53,0.09
4.81,102,0.98798,0.00161,17.73,17.73,0.09
4.93,103,0.98785,0.00165,17.93,17.93,0.1
4.93,104,0.98772,0.00168,18.13,18.13,0.1
5.05,106,0.9876,0.00172,18.33,18.33,0.1
5.05,107,0.98747,0.00176,18.53,18.52,0.1
5.17,108,0.98733,0.0018,18.73,18.73,0.1
5.17,109,0.9872,0.00184,18.92,18.92,0.1
5.29,110,0.98707,0.00188,19.12,19.12,0.1
5.29,111,0.98693,0.00193,19.32,19.32,0.1
5.41,112,0.9868,0.00197,19.52,19.52,0.1
5.41,114,0.98666,0.00201,19.72,19.72,0.1
5.53,115,0.98652,0.00205,19.92,19.92,0.1
5.53,116,0.98638,0.0021,20.12,20.12,0.11
5.65,117,0.98623,0.00214,20.32,20.32,0.11
5.65,118,0.98609,0.00218,20.53,20.53,0.11
5.65,120,0.98595,0.00223,20.73,20.73,0.11
5.83,121,0.9858,0.00227,20.93,20.93,0.11
5.83,122,0.98565,0.00232,21.13,21.13,0.11
5.83,123,0.9855,0.00237,21.34,21.34,0.11
6.01,125,0.98535,0.00241,21.54,21.54,0.11
6.01,126,0.9852,0.00246,21.74,21.74,0.11
6.13,127,0.98505,0.00251,21.95,21.95,0.11
6.13,129,0.98489,0.00256,22.15,22.15,0.11
6.25,130,0.98473,0.00261,22.35,22.35,0.11
6.25,131,0.98458,0.00266,22.56,22.56,0.11
6.37,133,0.98442,0.00271,22.76,22.76,0.12
6.37,134,0.98426,0.00276,22.97,22.97,0.12
6.49,136,0.98409,0.00281,23.18,23.18,0.12
6.49,137,0.98393,0.00286,23.38,23.38,0.12
6.61,138,0.98377,0.00291,23.59,23.59,0.12
6.61,140,0.9836,0.00297,23.79,23.79,0.12
6.73,141,0.98343,0.00302,24,24,0.12
6.73,143,0.98326,0.00307,24.21,24.21,0.12
6.85,144,0.98309,0.00313,24.42,24.42,0.12
6.85,146,0.98292,0.00318,24.62,24.62,0.12
6.97,147,0.98275,0.00324,24.83,24.83,0.12
6.97,149,0.98257,0.0033,25.04,25.04,0.12
7.09,150,0.9824,0.00335,25.25,25.25,0.13
7.09,152,0.98222,0.00341,25.46,25.46,0.13
7.21,153,0.98204,0.00347,25.67,25.67,0.13
7.21,155,0.98186,0.00353,25.88,25.88,0.13
7.33,156,0.98168,0.00359,26.09,26.09,0.13
7.33,158,0.98149,0.00365,26.3,26.3,0.13
7.45,160,0.98131,0.00371,26.51,26.51,0.13
7.45,161,0.98112,0.00377,26.72,26.72,0.13
7.57,163,0.98093,0.00383,26.94,26.94,0.13
7.57,164,0.98075,0.00389,27.15,27.15,0.13
7.69,166,0.98055,0.00396,27.36,27.36,0.13
7.69,168,0.98036,0.00402,27.58,27.58,0.13
7.81,169,0.98017,0.00408,27.79,27.79,0.14
7.81,171,0.97997,0.00415,28,28,0.14
7.93,173,0.97978,0.00421,28.21,28.21,0.14
7.93,174,0.97958,0.00428,28.43,28.43,0.14
8.05,176,0.97938,0.00434,28.64,28.64,0.14
8.05,178,0.97918,0.00441,28.86,28.86,0.14
8.17,180,0.97898,0.00448,29.07,29.07,0.14
8.17,181,0.97877,0.00455,29.29,29.29,0.14
8.29,183,0.97857,0.00462,29.5,29.5,0.14
8.29,185,0.97836,0.00468,29.72,29.72,0.14
8.41,187,0.97815,0.00475,29.93,29.93,0.15
8.41,189,0.97794,0.00482,30.15,30.15,0.15
8.53,190,0.97773,0.0049,30.37,30.37,0.15
8.53,192,0.97752,0.00497,30.58,30.58,0.15
8.65,194,0.97731,0.00504,30.8,30.8,0.15
8.65,196,0.97709,0.00511,31.02,31.02,0.15
8.77,198,0.97687,0.00519,31.24,31.24,0.15
8.83,200,0.97665,0.00526,31.46,31.45,0.15
8.83,202,0.97643,0.00533,31.67,31.67,0.15
8.95,203,0.97621,0.00541,31.89,31.89,0.15
8.95,205,0.97599,0.00549,32.11,32.11,0.15
9.07,207,0.97577,0.00556,32.33,32.33,0.16
9.07,209,0.97554,0.00564,32.55,32.55,0.16
9.19,211,0.97531,0.00572,32.77,32.77,0.16
9.25,213,0.97508,0.00579,32.99,32.99,0.16
9.25,215,0.97485,0.00587,33.21,33.21,0.16
9.37,217,0.97462,0.00595,33.43,33.43,0.16
9.37,219,0.97439,0.00603,33.65,33.65,0.16
9.49,221,0.97415,0.00611,33.88,33.88,0.16
9.55,223,0.97392,0.0062,34.1,34.1,0.16
9.55,225,0.97368,0.00628,34.32,34.32,0.16
9.67,227,0.97344,0.00636,34.54,34.54,0.16
9.67,230,0.9732,0.00644,34.77,34.77,0.17
9.79,232,0.97296,0.00653,34.99,34.99,0.17
9.79,234,0.97271,0.00661,35.21,35.21,0.17
9.91,236,0.97247,0.0067,35.44,35.44,0.17
9.91,238,0.97222,0.00678,35.66,35.66,0.17
10.03,240,0.97197,0.00687,35.89,35.89,0.17
10.09,242,0.97173,0.00696,36.11,36.11,0.17
10.09,245,0.97147,0.00705,36.34,36.34,0.17
10.21,247,0.97122,0.00714,36.56,36.56,0.17
10.21,249,0.97097,0.00722,36.79,36.79,0.17
10.33,251,0.97071,0.00731,37.01,37.01,0.18
10.39,253,0.97045,0.00741,37.24,37.24,0.18
10.39,256,0.9702,0.0075,37.47,37.47,0.18
10.51,258,0.96994,0.00759,37.7,37.7,0.18
10.51,260,0.96967,0.00768,37.92,37.92,0.18
10.63,262,0.96941,0.00777,38.15,38.15,0.18
10.63,265,0.96915,0.00787,38.38,38.38,0.18
10.75,267,0.96888,0.00796,38.61,38.61,0.18
10.81,269,0.96861,0.00806,38.84,38.84,0.18
10.81,272,0.96834,0.00815,39.07,39.07,0.18
10.93,274,0.96807,0.00825,39.3,39.3,0.18
10.93,276,0.9678,0.00835,39.53,39.53,0.19
11.05,279,0.96753,0.00845,39.76,39.76,0.19
11.05,281,0.96725,0.00854,39.99,39.99,0.19
11.17,284,0.96697,0.00864,40.22,40.22,0.19
11.17,286,0.96669,0.00874,40.45,40.45,0.19
11.29,289,0.96641,0.00884,40.69,40.69,0.19
11.35,291,0.96613,0.00895,40.92,40.92,0.19
11.35,293,0.96585,0.00905,41.15,41.15,0.19
11.47,296,0.96557,0.00915,41.39,41.38,0.19
11.47,298,0.96528,0.00926,41.62,41.62,0.2
11.59,301,0.96499,0.00936,41.85,41.85,0.2
11.65,303,0.9647,0.00947,42.09,42.08,0.2
11.65,306,0.96441,0.00957,42.32,42.32,0.2
11.77,309,0.96412,0.00968,42.55,42.55,0.2
11.77,311,0.96383,0.00979,42.79,42.79,0.2
11.89,314,0.96353,0.00989,43.03,43.03,0.2
11.95,316,0.96323,0.01,43.26,43.26,0.2
11.95,319,0.96294,0.01011,43.5,43.5,0.2
12.07,322,0.96264,0.01022,43.74,43.74,0.21
12.07,324,0.96233,0.01033,43.98,43.98,0.21
12.19,327,0.96203,0.01045,44.21,44.21,0.21
12.19,329,0.96173,0.01056,44.45,44.45,0.21
12.31,332,0.96142,0.01067,44.69,44.69,0.21
12.37,335,0.96111,0.01079,44.93,44.93,0.21
12.37,338,0.9608,0.0109,45.16,45.16,0.21
12.49,340,0.96049,0.01102,45.4,45.4,0.22
12.49,343,0.96018,0.01113,45.64,45.64,0.22
12.61,346,0.95987,0.01125,45.88,45.88,0.22
12.67,349,0.95955,0.01137,46.12,46.12,0.22
12.67,351,0.95923,0.01148,46.36,46.36,0.22
12.79,354,0.95892,0.0116,46.6,46.6,0.22
12.79,357,0.9586,0.01172,46.84,46.84,0.22
12.91,360,0.95827,0.01184,47.09,47.08,0.23
12.97,363,0.95795,0.01196,47.33,47.33,0.23
12.97,365,0.95763,0.01209,47.57,47.57,0.23
13.09,368,0.9573,0.01221,47.81,47.81,0.23
13.09,371,0.95697,0.01233,48.05,48.05,0.23
13.21,374,0.95664,0.01246,48.3,48.3,0.23
13.21,377,0.95631,0.01258,48.54,48.54,0.24
13.33,380,0.95598,0.01271,48.78,48.78,0.24
13.33,383,0.95565,0.01283,49.03,49.03,0.24
13.33,386,0.95531,0.01296,49.27,49.27,0.24
13.51,389,0.95497,0.01309,49.51,49.51,0.24
13.51,392,0.95463,0.01322,49.76,49.76,0.24
13.63,395,0.95429,0.01335,50.01,50.01,0.25
13.69,398,0.95395,0.01348,50.25,50.25,0.25
13.69,401,0.95361,0.01361,50.5,50.5,0.25
13.81,404,0.95326,0.01374,50.75,50.74,0.25
13.81,407,0.95292,0.01387,50.99,50.99,0.25
13.93,410,0.95257,0.014,51.24,51.24,0.26
13.93,413,0.95222,0.01414,51.49,51.49,0.26
14.05,416,0.95187,0.01427,51.73,51.73,0.26
14.05,419,0.95152,0.01441,51.98,51.98,0.26
14.17,422,0.95116,0.01454,52.23,52.23,0.26
14.23,426,0.95081,0.01468,52.48,52.48,0.27
14.23,429,0.95045,0.01482,52.73,52.73,0.27
14.35,432,0.95009,0.01496,52.98,52.98,0.27
14.35,435,0.94973,0.0151,53.23,53.23,0.27
14.47,438,0.94937,0.01524,53.48,53.48,0.28
14.53,442,0.949,0.01538,53.73,53.73,0.28
14.53,445,0.94864,0.01552,53.99,53.99,0.28
14.65,448,0.94827,0.01566,54.24,54.24,0.28
14.65,451,0.9479,0.01581,54.49,54.49,0.29
14.77,455,0.94753,0.01595,54.74,54.74,0.29
14.83,458,0.94716,0.0161,55,55,0.29
14.83,461,0.94678,0.01624,55.25,55.25,0.29
14.95,465,0.94641,0.01639,55.51,55.51,0.29
14.95,468,0.94603,0.01654,55.76,55.76,0.3
15.07,471,0.94565,0.01669,56.02,56.01,0.3
15.13,475,0.94528,0.01684,56.27,56.27,0.3
15.13,478,0.94489,0.01699,56.52,56.52,0.3
15.25,481,0.94451,0.01714,56.78,56.78,0.31
15.25,485,0.94413,0.01729,57.04,57.04,0.31
15.37,488,0.94374,0.01744,57.29,57.29,0.31
15.43,492,0.94335,0.0176,57.55,57.55,0.32
15.43,495,0.94296,0.01775,57.8,57.8,0.32
15.55,499,0.94257,0.01791,58.06,58.06,0.32
15.55,502,0.94218,0.01806,58.32,58.32,0.32
15.67,506,0.94179,0.01822,58.58,58.57,0.33
15.73,509,0.94139,0.01838,58.83,58.83,0.33
15.79,513,0.94099,0.01853,59.09,59.09,0.33
15.79,516,0.94059,0.01869,59.35,59.35,0.34
15.91,520,0.94019,0.01885,59.61,59.61,0.34
15.91,524,0.93979,0.01901,59.86,59.86,0.34
16.03,527,0.93939,0.01917,60.12,60.12,0.34
16.09,531,0.93898,0.01933,60.38,60.38,0.35
16.09,534,0.93858,0.0195,60.64,60.64,0.35
16.21,538,0.93817,0.01966,60.91,60.9,0.35
16.21,542,0.93776,0.01982,61.17,61.17,0.36
16.33,545,0.93735,0.01999,61.43,61.43,0.36
16.39,549,0.93693,0.02016,61.69,61.69,0.36
16.39,553,0.93652,0.02032,61.95,61.95,0.37
16.51,557,0.9361,0.02049,62.22,62.21,0.37
16.51,560,0.93568,0.02066,62.48,62.48,0.37
16.63,564,0.93526,0.02083,62.74,62.74,0.38
16.69,568,0.93484,0.021,63.01,63.01,0.38
16.69,572,0.93442,0.02117,63.27,63.27,0.38
16.81,575,0.934,0.02134,63.54,63.54,0.39
16.81,579,0.93357,0.02152,63.8,63.8,0.39
16.93,583,0.93314,0.02169,64.07,64.07,0.4
16.99,587,0.93271,0.02187,64.34,64.34,0.4
16.99,591,0.93228,0.02204,64.6,64.6,0.4
17.11,595,0.93185,0.02222,64.87,64.87,0.41
17.11,599,0.93142,0.0224,65.14,65.14,0.41
17.23,603,0.93098,0.02258,65.4,65.4,0.41
17.29,607,0.93054,0.02276,65.67,65.67,0.42
17.29,611,0.9301,0.02294,65.94,65.94,0.42
17.41,614,0.92966,0.02312,66.21,66.21,0.43
17.41,618,0.92922,0.0233,66.48,66.48,0.43
17.53,622,0.92878,0.02348,66.75,66.75,0.44
17.59,627,0.92833,0.02367,67.02,67.02,0.44
17.59,631,0.92789,0.02385,67.29,67.29,0.44
17.71,635,0.92744,0.02404,67.56,67.56,0.45
17.71,639,0.92699,0.02423,67.83,67.83,0.45
17.83,643,0.92654,0.02441,68.11,68.11,0.46
17.89,647,0.92608,0.0246,68.38,68.38,0.46
17.89,651,0.92563,0.02479,68.65,68.65,0.47
18.01,655,0.92517,0.02498,68.93,68.92,0.47
18.01,659,0.92471,0.02517,69.2,69.2,0.48
18.13,663,0.92425,0.02537,69.47,69.47,0.48
18.19,668,0.92379,0.02556,69.75,69.74,0.48
18.19,672,0.92333,0.02575,70.02,70.02,0.49
18.31,676,0.92286,0.02595,70.29,70.29,0.49
18.31,680,0.9224,0.02614,70.57,70.57,0.5
18.43,685,0.92193,0.02634,70.84,70.84,0.5
18.49,689,0.92146,0.02654,71.12,71.12,0.51
18.49,693,0.92099,0.02674,71.39,71.39,0.51
18.61,697,0.92052,0.02693,71.67,71.67,0.52
18.67,702,0.92004,0.02713,71.95,71.95,0.52
18.67,706,0.91957,0.02734,72.23,72.22,0.53
18.79,710,0.91909,0.02754,72.5,72.5,0.54
18.79,715,0.91861,0.02774,72.78,72.78,0.54
18.91,719,0.91813,0.02794,73.06,73.06,0.55
18.97,724,0.91765,0.02815,73.34,73.34,0.55
18.97,728,0.91716,0.02835,73.62,73.62,0.56
19.09,732,0.91668,0.02856,73.9,73.9,0.56
19.09,737,0.91619,0.02877,74.18,74.18,0.57
19.21,741,0.9157,0.02898,74.46,74.46,0.57
19.27,746,0.91521,0.02919,74.74,74.74,0.58
19.27,750,0.91472,0.0294,75.02,75.02,0.58
19.39,755,0.91423,0.02961,75.31,75.3,0.59
19.39,759,0.91373,0.02982,75.59,75.58,0.6
19.51,764,0.91323,0.03003,75.87,75.87,0.6
19.57,768,0.91273,0.03025,76.15,76.15,0.61
19.63,773,0.91223,0.03046,76.43,76.43,0.61
19.63,778,0.91173,0.03068,76.72,76.72,0.62
19.75,782,0.91123,0.03089,77,77,0.63
19.75,787,0.91072,0.03111,77.29,77.29,0.63
19.87,792,0.91022,0.03133,77.57,77.57,0.64
19.93,796,0.90971,0.03155,77.86,77.86,0.65
19.93,801,0.9092,0.03177,78.15,78.14,0.65
20.05,806,0.90869,0.03199,78.43,78.43,0.66
20.05,810,0.90817,0.03221,78.72,78.71,0.66
20.17,815,0.90766,0.03244,79,79,0.67
20.17,820,0.90714,0.03266,79.29,79.29,0.68
20.29,825,0.90663,0.03289,79.58,79.58,0.68
20.29,829,0.90611,0.03311,79.87,79.87,0.69
20.41,834,0.90558,0.03334,80.16,80.15,0.7
20.47,839,0.90506,0.03357,80.45,80.44,0.7
20.47,844,0.90454,0.0338,80.74,80.73,0.71
20.59,849,0.90401,0.03403,81.03,81.03,0.72
20.59,854,0.90348,0.03426,81.32,81.32,0.73
20.71,859,0.90295,0.03449,81.61,81.61,0.73
20.77,863,0.90242,0.03473,81.9,81.9,0.74
20.77,868,0.90189,0.03496,82.19,82.19,0.75
20.89,873,0.90136,0.03519,82.48,82.48,0.76
20.89,878,0.90082,0.03543,82.77,82.77,0.76
21.01,883,0.90028,0.03567,83.07,83.06,0.77
21.07,888,0.89974,0.0359,83.36,83.35,0.78
21.07,893,0.8992,0.03614,83.65,83.65,0.79
21.19,898,0.89866,0.03638,83.94,83.94,0.79
21.19,903,0.89812,0.03662,84.24,84.23,0.8
21.31,908,0.89757,0.03686,84.53,84.53,0.81
21.31,914,0.89703,0.03711,84.82,84.82,0.82
21.43,919,0.89648,0.03735,85.12,85.11,0.83
21.49,924,0.89593,0.03759,85.42,85.41,0.83
21.49,929,0.89537,0.03784,85.71,85.71,0.84
21.61,934,0.89482,0.03808,86.01,86,0.85
21.67,939,0.89427,0.03833,86.3,86.3,0.86
21.67,944,0.89371,0.03858,86.6,86.59,0.87
21.79,950,0.89315,0.03882,86.9,86.89,0.87
21.79,955,0.89259,0.03907,87.2,87.19,0.88
21.91,960,0.89203,0.03933,87.49,87.49,0.89
21.97,965,0.89147,0.03958,87.79,87.79,0.9
21.97,971,0.8909,0.03983,88.09,88.09,0.91
22.09,976,0.89033,0.04008,88.39,88.39,0.92
22.09,981,0.88977,0.04034,88.69,88.69,0.93
22.21,987,0.8892,0.04059,88.99,88.99,0.93
22.27,992,0.88863,0.04085,89.3,89.29,0.94
22.27,997,0.88805,0.04111,89.6,89.59,0.95
22.39,1003,0.88748,0.04137,89.9,89.9,0.96
22.39,1008,0.8869,0.04163,90.21,90.2,0.97
22.51,1014,0.88632,0.04189,90.51,90.5,0.98
22.57,1019,0.88575,0.04215,90.81,90.8,0.99
22.57,1025,0.88516,0.04242,91.11,91.11,1
22.69,1030,0.88458,0.04268,91.42,91.41,1.01
22.69,1036,0.884,0.04295,91.72,91.72,1.02
22.81,1041,0.88341,0.04321,92.03,92.02,1.03
22.87,1047,0.88282,0.04348,92.33,92.33,1.04
22.87,1052,0.88224,0.04375,92.64,92.63,1.05
22.99,1058,0.88164,0.04402,92.95,92.94,1.06
22.99,1063,0.88105,0.04429,93.25,93.25,1.07
23.11,1069,0.88046,0.04456,93.56,93.56,1.08
23.17,1075,0.87986,0.04483,93.87,93.87,1.09
23.17,1080,0.87927,0.0451,94.18,94.17,1.1
23.29,1086,0.87867,0.04538,94.49,94.48,1.11
23.29,1092,0.87807,0.04565,94.8,94.79,1.12
23.41,1097,0.87747,0.04593,95.1,95.1,1.13
23.47,1103,0.87686,0.04621,95.41,95.41,1.14
23.47,1109,0.87626,0.04648,95.72,95.72,1.15
23.59,1114,0.87565,0.04676,96.03,96.03,1.16
23.59,1120,0.87504,0.04704,96.34,96.34,1.17
